carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4296.536523960293
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1453.6287887980466
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5065.039094018011
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5590.875690983237
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6794.422291322528
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,14373.288543154344
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,10859.55173626245
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13148.016316803172
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,763.3033308249364
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2576.194735222128
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4158.437941156439
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,13219.27147972988
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,502.3190087269263
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2914.165223678703
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,6207.46842758791
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1987.2135376787705
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9916.816621428658
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,-2005.208972882198
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10111.23228081044
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6492.467811460276
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,10732.994924344688
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3808.791194304221
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,629.9805420951893
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,14461.871824830274
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,514.3181926919692
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,2225.992349946499
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4551.184836633777
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,5210.524471579654
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6767.490139772008
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,-675.1727531471529
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1491.6551999086437
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4575.242526872871
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3919.2876086303204
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3579.181508349611
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,644.036514564953
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3224.731364687766
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4286.468163892235
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5916.562700737024
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2594.870220805958
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6789.154183120199
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2985.9469530955707
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6453.088685728575
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,1241.9180470546542
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,2746.9098338678227
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14541.252035668618
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1454.974958420155
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3230.41133112767
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4023.485787161613
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,13075.54579428752
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3246.514746826083
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3169.113092784108
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,996.3084352169567
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,587.2682165691781
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,788.0754934059155
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7584.0966382495535
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11878.286411395597
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5656.088870270816
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1029.403452505699
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3030.300086171642
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6403.280869399534
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1529.5640961282588
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1366.0564756937915
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,1101.2615375918508
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2639.063576253086
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6491.247137660388
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,8480.753256255848
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5784.394905938007
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,367.8878300507872
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,661.5542436833935
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1492.9644775181582
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2442.21787420877
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1941.055600815262
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,620.2360305771367
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4666.752836467796
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,740.7300234370696
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,8687.571834414051
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1160.7070129276276
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3922.743965380975
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1129.5401342737928
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4609.721787696222
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,562.263017402443
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5214.192688748484
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7634.67148949375
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4447.624442147758
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6499.397857514778
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4119.102027619897
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2485.891398434623
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3749.39800654428
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,115.9406045830533
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3358.9553402600636
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6756.475282726551
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9161.440150293189
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8168.109417788248
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3015.770425712278
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1022.9356670575648
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,2071.9077302626024
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,2137.316631555635
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,893.8303971746041
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1020.9657466426097
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2988.5535058085316
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9728.240490613878
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,8303.742583876789
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5799.8494866352
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1734.2187447678075
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1822.297286458654
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1541.3612369203079
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,672.2308612933607
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6560.029778710195
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1663.9860986882518
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1450.254478744158
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1313.6345375286742
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,644.2822421748538
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11384.15195807225
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7397.930590798396
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,6160.314406923809
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10405.723569366164
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,1001.91453075871
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,17878.241315315474
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5623.6429311658885
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,480.44572123739135
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,14462.531512076786
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2668.116423178495
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,-5.470951206872996
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10523.64887748685
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,1501.4007124210962
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,10222.697206401916
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,1127.0351366953396
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5939.88681899499
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,959.5930963506858
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,1400.3849005821567
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,8795.073961312302
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,6349.950712285325
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,17098.831143510186
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3167.1302756964637
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5553.397975507243
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,-862.4443588908125
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,4779.578497480523
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,15488.327039447824
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,1270.8499454598455
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,9279.848270917473
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1612.192449169132
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,11151.374750952558
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,11917.457150592958
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,825.9105759402369
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,2256.7276425276145
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,1470.6785453668067
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,8151.888627738688
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,8149.595139774821
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,787.0680459264499
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3796.8212502409924
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,-1080.8302551727775
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,2191.616421952937
